listing_url,name,property_type,host_is_superhost,host_acceptance_rate,neighbourhood_cleansed,neighbourhood_group_cleansed,price
https://www.airbnb.com/rooms/48863112,Montreux Studio near the Casino Barrière,Entire rental unit,False,100.0,Montreux,Riviera-Pays-d'Enhaut,136.0
https://www.airbnb.com/rooms/48894940,Big beautiful studio in Lausanne!,Entire rental unit,False,80.0,Lausanne,Lausanne,95.0
https://www.airbnb.com/rooms/48912498,Les Champs: logement dans batisse de 1718 rénovée,Entire guest suite,True,88.0,Cudrefin,Broye-Vully,130.0
https://www.airbnb.com/rooms/48913609,Le Levant: logement dans ancienne batisse de 1718,Entire guest suite,True,88.0,Cudrefin,Broye-Vully,130.0
https://www.airbnb.com/rooms/48914102,FURNISHED ROOM TO RENT,Private room in condo,False,50.0,Montreux,Riviera-Pays-d'Enhaut,40.0
https://www.airbnb.com/rooms/48929002,Appartement dans résidence calme Lausanne,Entire condo,False,61.0,Lausanne,Lausanne,246.0
https://www.airbnb.com/rooms/48932178,Charmant studio proche de toute commodité,Entire rental unit,False,61.0,Lausanne,Lausanne,100.0
https://www.airbnb.com/rooms/48935844,Petite maison vue sur le lac rien que pour vous,Entire villa,False,100.0,Belmont-sur-Lausanne,Lavaux-Oron,216.0
https://www.airbnb.com/rooms/48968250,NEW 1BR near EHL Balcony for 2 guests w. parking,Entire condo,False,77.0,Epalinges,Lausanne,183.0
https://www.airbnb.com/rooms/48969684,"Nice studio, 20 mins from Lausanne centre",Entire guesthouse,False,100.0,Jouxtens-Mézery,Lausanne,43.0
https://www.airbnb.com/rooms/49035493,Studio du Lac - Domaine de Belle-ferme,Entire rental unit,True,98.0,Bogis-Bossey,Nyon,125.0
https://www.airbnb.com/rooms/49042475,Appartement familial au centre de Lausanne,Entire rental unit,False,75.0,Lausanne,Lausanne,300.0
https://www.airbnb.com/rooms/49072785,Erwachen mit Blick auf den wunderschönen Murtensee,Private room,True,97.0,Vully-les-Lacs,Broye-Vully,95.0
https://www.airbnb.com/rooms/49085539,"Résidence B2, (Les Mosses), 2 rooms apartment",Entire rental unit,False,92.0,Ormont-Dessous,Aigle,200.0
https://www.airbnb.com/rooms/49089096,La Perle du Lac in Lutry,Entire rental unit,False,100.0,Lutry,Lavaux-Oron,1438.0
https://www.airbnb.com/rooms/49111721,Belle chambre indépendante à la campagne,Private room in guest suite,True,88.0,Trey,Broye-Vully,65.0
https://www.airbnb.com/rooms/49125537,La bonne maison,Entire home,False,100.0,Vallorbe,Jura-Nord vaudois,108.0
https://www.airbnb.com/rooms/49136710,Quarto individual com todas as comodidades,Private room in rental unit,False,30.0,Lausanne,Lausanne,66.0
https://www.airbnb.com/rooms/49149781,Caravane Edelweiss,Camper/RV,True,100.0,Bullet,Jura-Nord vaudois,75.0
https://www.airbnb.com/rooms/49151220,Les Champs du Levant,Entire rental unit,True,88.0,Cudrefin,Broye-Vully,230.0
https://www.airbnb.com/rooms/49173412,Long stay%- A new 5-room lake-view House in Lavaux,Entire townhouse,False,77.75,Bourg-en-Lavaux,Lavaux-Oron,359.0
https://www.airbnb.com/rooms/49209672,"Chalet avec vue, 12 couchages, Villars sur Ollon",Entire home,False,100.0,Ollon,Aigle,400.0
